Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,19801119.77,1107417.29,2033545.50,7829,0,9359,0,18226,0,1193,0,70,0.6933694767890379,12408
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,21672020.02,521991.38,171810.00,6687,0,2522,0,12764,0,1880,0,84,0.8785865007454796,17676
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,3130622.89,72533.07,19780.00,1222,0,1852,0,3140,0,217,0,19,0.6738399220749343,2112
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,8337202.73,5605490.93,5518854.00,3984,0,1350,0,10279,0,1753,0,43,0.9547084411087132,16332
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,7928128.06,2164842.13,3861486.00,1963,0,946,0,4842,0,648,0,68,0.3935240127807225,14172
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2558588.15,765157.80,1748428.00,826,0,247,0,2106,0,374,0,11,0.9667549100461725,3516
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,4177077.82,3037130.95,650844.62,2744,0,2034,0,6497,0,754,0,49,0.9477279603407415,9948
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,4970970.16,2622917.28,1018558.79,2609,0,1563,0,6076,0,723,0,50,0.9410809593308385,8880
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1679237.46,502513.51,596723.75,935,0,781,0,1816,0,292,0,31,0.9077380129324895,2604
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,14901574.67,0.00,0,5905,0,3073,0,12342,0,2032,70,1.0097221475521374,21984
